date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-10,ME,15,111,13
2020-07-10,MI,505,6285,622
2020-07-10,MN,227,1533,604
2020-07-10,MO,886,1051,0
2020-07-10,MP,,2,0
2020-07-10,MS,981,1215,1031
2020-07-10,MT,21,28,127
2020-07-10,NC,1046,1479,1982
2020-07-10,ND,33,78,84
2020-07-10,NE,100,284,198
2020-07-10,NH,24,387,21
2020-07-10,NJ,904,15479,388
2020-07-10,NM,154,533,234
2020-07-10,NV,924,579,1004
2020-07-10,NY,826,24968,786
2020-07-10,OH,928,3032,1525
2020-07-10,OK,487,416,596
2020-07-10,OR,208,232,266
2020-07-10,PA,653,6880,1009
2020-07-10,PR,140,159,275
2020-07-10,RI,61,976,69
2020-07-10,SC,1438,929,1728
2020-07-10,SD,65,107,65
2020-07-10,TN,1184,723,1955
2020-07-10,TX,10002,3013,9765
2020-07-10,UT,229,207,867
2020-07-10,VA,1006,1958,943
2020-07-10,VI,,6,9
2020-07-10,VT,11,56,5
2020-07-10,WA,326,1409,640
2020-07-10,WI,274,821,889
2020-07-10,WV,56,95,157
2020-07-10,WY,12,21,16
2020-07-09,AK,28,17,46
2020-07-09,AL,1125,1068,2212
2020-07-09,AR,394,309,1540
2020-07-09,AS,,0,0
2020-07-09,AZ,3437,2038,4057
2020-07-09,CA,7821,6711,7031
2020-07-09,CO,335,1544,452
2020-07-09,CT,90,4348,101
2020-07-09,DC,92,568,37
2020-07-09,DE,63,517,69
2020-07-09,FL,,4111,8935
2020-07-09,GA,2322,2930,2837
2020-07-09,GU,3,5,2
2020-07-09,HI,,19,23
2020-07-09,IA,168,739,731
2020-07-09,ID,91,98,430
2020-07-09,IL,1507,7329,1018
2020-07-09,IN,686,2739,512
2020-07-09,KS,,282,0
2020-07-09,KY,457,612,326
2020-07-09,LA,1042,3355,1843
2020-07-09,MA,635,8268,295
2020-07-09,MD,406,3288,586
2020-07-09,ME,16,111,26
2020-07-09,MI,505,6271,512
2020-07-09,MN,251,1528,574
2020-07-09,MO,811,1051,795
2020-07-09,MP,,2,0
2020-07-09,MS,941,1204,703
2020-07-09,MT,24,25,95
2020-07-09,NC,1034,1461,2039
2020-07-09,ND,30,78,99
2020-07-09,NE,97,282,224
2020-07-09,NH,22,386,20
2020-07-09,NJ,963,15448,201
2020-07-09,NM,154,527,290
2020-07-09,NV,935,571,603
2020-07-09,NY,851,24959,584
2020-07-09,OH,890,3006,1150
2020-07-09,OK,453,410,603
2020-07-09,OR,192,230,371
2020-07-09,PA,650,6848,719
2020-07-09,PR,147,159,117
2020-07-09,RI,55,974,39
2020-07-09,SC,1433,905,1782
2020-07-09,SD,61,101,94
2020-07-09,TN,1135,710,1605
2020-07-09,TX,9689,2918,9782
2020-07-09,UT,207,205,601
2020-07-09,VA,956,1937,613
2020-07-09,VI,,6,22
2020-07-09,VT,15,56,16
2020-07-09,WA,329,1394,521
2020-07-09,WI,285,816,800
2020-07-09,WV,50,95,119
2020-07-09,WY,12,21,34
2020-07-08,AK,30,17,42
2020-07-08,AL,1110,1058,1177
2020-07-08,AR,358,301,0
2020-07-08,AS,,0,0
2020-07-08,AZ,3421,1963,3520
2020-07-08,CA,7705,6562,11694
2020-07-08,CO,335,1542,407
2020-07-08,CT,88,4343,75
2020-07-08,DC,86,564,73
2020-07-08,DE,57,515,48
2020-07-08,FL,,3991,9989
2020-07-08,GA,2215,2922,3420
2020-07-08,GU,3,5,4
2020-07-08,HI,,19,41
2020-07-08,IA,165,735,480
2020-07-08,ID,50,94,487
2020-07-08,IL,1385,7309,980
2020-07-08,IN,667,2732,437
2020-07-08,KS,,282,717
2020-07-08,KY,453,608,400
2020-07-08,LA,1022,3339,1888
2020-07-08,MA,662,8243,264
2020-07-08,MD,398,3275,465
2020-07-08,ME,22,110,20
2020-07-08,MI,505,6262,651
2020-07-08,MN,265,1523,456
2020-07-08,MO,694,1046,575
2020-07-08,MP,,2,0
2020-07-08,MS,883,1188,674
2020-07-08,MT,22,23,44
2020-07-08,NC,994,1441,1435
2020-07-08,ND,26,78,73
2020-07-08,NE,102,282,155
2020-07-08,NH,24,384,18
2020-07-08,NJ,935,15423,161
2020-07-08,NM,133,519,220
2020-07-08,NV,876,553,516
2020-07-08,NY,841,24944,692
2020-07-08,OH,890,2991,1277
2020-07-08,OK,458,407,673
2020-07-08,OR,188,224,212
2020-07-08,PA,649,6812,849
2020-07-08,PR,127,159,31
2020-07-08,RI,56,971,0
2020-07-08,SC,1404,884,1557
2020-07-08,SD,54,98,79
2020-07-08,TN,1160,685,2472
2020-07-08,TX,9610,2813,9979
2020-07-08,UT,236,201,722
2020-07-08,VA,971,1905,635
2020-07-08,VI,,6,6
2020-07-08,VT,14,56,2
2020-07-08,WA,318,1384,435
2020-07-08,WI,276,814,645
2020-07-08,WV,48,95,246
2020-07-08,WY,13,21,29
2020-07-07,AK,25,17,46
2020-07-07,AL,1073,1033,907
2020-07-07,AR,369,292,259
2020-07-07,AS,,0,0
2020-07-07,AZ,3356,1927,3653
2020-07-07,CA,7499,6448,6090
2020-07-07,CO,327,1542,192
2020-07-07,CT,83,4338,57
2020-07-07,DC,90,561,54
2020-07-07,DE,56,514,121
2020-07-07,FL,,3943,7347
2020-07-07,GA,2096,2899,3406
2020-07-07,GU,3,5,2
2020-07-07,HI,,19,7
2020-07-07,IA,165,725,372
2020-07-07,ID,50,94,319
2020-07-07,IL,1385,7273,587
2020-07-07,IN,655,2717,295
2020-07-07,KS,,280,0
2020-07-07,KY,421,602,367
2020-07-07,LA,1025,3319,1936
2020-07-07,MA,621,8213,201
2020-07-07,MD,404,3266,492
2020-07-07,ME,22,110,17
2020-07-07,MI,505,6251,631
2020-07-07,MN,267,1514,564
2020-07-07,MO,676,1042,773
2020-07-07,MP,,2,0
2020-07-07,MS,885,1158,957
2020-07-07,MT,22,23,78
2020-07-07,NC,989,1420,1346
2020-07-07,ND,24,81,49
2020-07-07,NE,109,283,117
2020-07-07,NH,25,382,17
2020-07-07,NJ,903,15281,267
2020-07-07,NM,129,515,251
2020-07-07,NV,849,548,876
2020-07-07,NY,836,24924,588
2020-07-07,OH,849,2970,948
2020-07-07,OK,426,404,858
2020-07-07,OR,191,220,210
2020-07-07,PA,637,6787,995
2020-07-07,PR,122,157,129
2020-07-07,RI,55,969,41
2020-07-07,SC,1324,846,972
2020-07-07,SD,64,98,58
2020-07-07,TN,1112,665,1359
2020-07-07,TX,9286,2715,10028
2020-07-07,UT,248,194,564
2020-07-07,VA,902,1881,638
2020-07-07,VI,,6,4
2020-07-07,VT,13,56,3
2020-07-07,WA,222,1370,1087
2020-07-07,WI,254,812,535
2020-07-07,WV,41,95,19
2020-07-07,WY,10,20,77
2020-07-06,AK,19,16,0
2020-07-06,AL,1016,1007,925
2020-07-06,AR,337,292,1044
2020-07-06,AS,,0,0
2020-07-06,AZ,3212,1810,3352
2020-07-06,CA,7278,6337,11529
2020-07-06,CO,286,1521,199
2020-07-06,CT,69,4338,259
2020-07-06,DC,88,561,33
2020-07-06,DE,54,512,165
2020-07-06,FL,,3880,6336
2020-07-06,GA,1962,2878,1548
2020-07-06,GU,2,5,13
2020-07-06,HI,,19,24
2020-07-06,IA,151,723,304
2020-07-06,ID,75,93,363
2020-07-06,IL,1395,7236,614
2020-07-06,IN,613,2698,323
2020-07-06,KS,,280,982
2020-07-06,KY,433,593,776
2020-07-06,LA,964,3296,1101
2020-07-06,MA,603,8198,163
2020-07-06,MD,403,3246,272
2020-07-06,ME,21,109,8
2020-07-06,MI,505,6221,328
2020-07-06,MN,258,1511,433
2020-07-06,MO,740,1028,420
2020-07-06,MP,,2,0
2020-07-06,MS,825,1114,357
2020-07-06,MT,20,23,37
2020-07-06,NC,982,1398,1546
2020-07-06,ND,22,78,33
2020-07-06,NE,101,284,102
2020-07-06,NH,25,381,40
2020-07-06,NJ,861,15229,209
2020-07-06,NM,119,513,193
2020-07-06,NV,748,537,491
2020-07-06,NY,817,24913,518
2020-07-06,OH,837,2927,805
2020-07-06,OK,391,399,434
2020-07-06,OR,183,215,165
2020-07-06,PA,598,6754,450
2020-07-06,PR,115,155,669
2020-07-06,RI,61,960,55
2020-07-06,SC,1260,827,1533
2020-07-06,SD,59,97,42
2020-07-06,TN,940,653,724
